DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-16,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011701893,149333,JAN 17 FUND VALUATION 2013,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-24,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Strategy,RAINMAKER SOLUTIONS LTD,1011701982,135738.05,WORK COMPLETED AND EXPENSES,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,ANIMAL AND PLANT HEALTH AGENCY,2012700121,124220.26,"Provision of sampling kits, sampling and testing schedules (Q4 ? Y1): FY 16/17",KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,PUBLIC HEALTH ENGLAND,2012700127,114694.6,FS102121 TASK 30,SP4 0JG,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-05,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,LONDON BOROUGH OF CAMDEN,1011701785,105468,BUSINESS RATES FOR AVIATION HOUSE,WC1H 8EQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,PUBLIC HEALTH ENGLAND,2012700127,92341.31,FS516010 NRL FOR MICROBIOLOGY,SP4 0JG,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-16,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - INSURANCE,Security & Estates,D T Z,1011701884,83271.62,DTZ INVOICE 431541 - AVH BUILDING TERRORISM AND ENGINEERING INSURANCE,B4 6AJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-27,EXP - RENTALS UNDER NON PFI OPERATING LEASES  -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,DEFRA C/O CAPITA,1011702008,68445.8,CAPITA INVOICE 100254/9785 - FOSS HOUSE RENT AND RATES CHARGES MARCH 2016,EC2V 7NQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700111,37434.75, C6028 Q3,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,C E F A S,2012700114,32445.4,QUARTER 3 INVOICED,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011701926,32210,Feed Off. Conts 2016/17 NTS/TSI fees. Feed Official Controls funding 2016/17: NTS/TSI fees,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-01-12,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011701850,31476.83,Vodafone PSN charges April 16 - Mar 17,MK3 5JL,ADMIN
