DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ??? research and development,UNIVERSITY OF LIVERPOOL,1011710786,447455,RETENTION.,L69 7ZX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-24,EXP - RENTALS UNDER NON PFI OPERATING LEASES -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,MONTAGU EVANS LLP,1011710987,186971.89,FOSS HOUSE UTILITIES ,EH3 8EG,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-24,EXP - RENTALS UNDER NON PFI OPERATING LEASES -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,MONTAGU EVANS LLP,1011710987,186971.89,FOSS HOUSE UTILITIES  ,EH3 8EG,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-29,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,EXPONENTIAL E LTD,1011711015,169318.64,WAN Provision ,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,Finance Director & Branch,H M REVENUE & CUSTOMS,10000179,167637.46,PSA AGREEMENT 1819 REF XV0000100210772,BD98 1YY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-23,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011710982,124568.58,2019-20 LPFA pension deficit reduction,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Contaminants and Residues,PREMIER ANALYTICAL SERVICES,1011710969,87200.6,FS102075 Survey of Acrylamide & Furan Levels in UK Retail Products (D 04/05: Delivery of Final Report *RETENTION*),HP12 3QR,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,PUBLIC HEALTH ENGLAND,2012700692,80478.4,FS516010 - National Reference Laboratory for Microbiology,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Digital,NOT BINARY LTD,1011710947,53970.65,Discovery to understand implications and impact on moving the service from GOV.UK into food.gov.uk.,E1 6JE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-14,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Digital,ACQUIA INC,1011710882,46180,Futher funding for Drupal Application hosting.,EC2A 1BR,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011710810,39715.67,IT24 Var 2 - Azure CSP ?? Consumption Jul 19 ?? Jun 20,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011710810,37275.56,IT24 Var 2 - Azure CSP ?? Consumption Jul 19 ?? Jun 20,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700686,36022.5,Shellfish biotoxin analysis costs 2019/20,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Strategy,PHOENIX SOFTWARE LIMITED,1011710811,34979,Airwatch License Renewal,YO42 1NS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-29,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,EXPONENTIAL E LTD,1011711015,33863.73,SMART WIRES,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-29,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,NFCU Phase 2,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,1011711014,27072.5,"Methods SOW4 to work further on Memex migration, PND integration and DAM requirements",EC1A 4EN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-10-17,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,LITTLE FISH UK LTD,1011710920,24611,Littlefish - End user monthly service charge ,NG1 1LS,ADMIN
