DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,PUBLIC HEALTH ENGLAND,2012700695,70252.41,FS516010 - National Reference Laboratory for Microbiology,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientific Advisors team,ELSEVIER B V,1011711045,38555.05,Science Direct (Elsevier) subscription renewal,1043 NX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-04,EXP - AMORTISATION - INTANGIBLE ASSETS,Digital,EPIMORPHICS LTD,1011711053,57756.64,ROF - WP 19 UV & UKFSS,BS20 6PT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-04,EXP - AMORTISATION - INTANGIBLE ASSETS,Digital,EPIMORPHICS LTD,1011711053,11551.33,ROF - WP 19 UV & UKFSS,BS20 6PT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analytics Unit,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011711075,123524,TBC 20% retention on final deliverable,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011711084,31655,Datacentre Discovery and Design - Fixed Price - Azure Managed Service (WP4),EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-05,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,LITTLE FISH UK LTD,1011711085,24611,Littlefish - End user monthly service charge ,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ??? research and development,PUBLIC HEALTH ENGLAND,2012700698,510000,CO-FUNDING OF NATIONAL DIETARY AND NUTRITION SURVEY (NDNS) BY THE AGENCY,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,LGC LTD,1011711137,39998.47,DEVELOPMENT OF QUALITY CONTROL MATERIALS FOR FOOD ALLERGEN ANALYSIS12/01/2018 to 10/05/2019,TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,LGC LTD,1011711137,39998.47,DEVELOPMENT OF QUALITY CONTROL MATERIALS FOR FOOD ALLERGEN ANALYSIS12/01/2018 to 10/05/2019 ,TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700699,36022.5,Shellfish biotoxin analysis costs 2019/20,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700699,21771,Shellfish classification management E&W 2019-20,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,LGC LTD,1011711137,-39998.47,DEVELOPMENT OF QUALITY CONTROL MATERIALS FOR FOOD ALLERGEN ANALYSIS12/01/2018 to 10/05/2019 ,TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-11-11,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,Operational Delivery,BDO LLP,1011711142,35300,To understand and ensure the SIR DB is GDPR compliant,RH6 0PA,PROGRAMME
