DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-09,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,Security & Estates,D T Z,1011701601,1841181.65,RACK RENT - QUARTERLY IN ADVANCE 25/12/2016 - 24/03/2017,EC2N 2BQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-19,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701659,558381.66,CORE SERVICE CHARGE DECEMBER 2016,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-09,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,Security & Estates,D T Z,1011701601,368236.33,RACK RENT - QUARTERLY IN ADVANCE 25/12/2016 - 24/03/2017,EC2N 2BQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-23,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011701716,279190.83,CORE SERVICES CHARGES DECEMBER 2016,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-08,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Strategy,RAINMAKER SOLUTIONS LTD,1011701581,177715.2,EVOLVE IT -DISCOVERY AND DESIGN PHASE,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-15,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011701645,149333,DEC16 FUND VALUATION 2013,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-05,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,LONDON BOROUGH OF CAMDEN,1011701535,105468,BUSINESS RATES FOR AVIATION HOUSE,WC1H 8EQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,ANIMAL AND PLANT HEALTH AGENCY,2012700103,88218.8,"DEFAULT-05/01,04/01,02/02,08/01,07/02,08/02,02/03-PROVISION OF SAMPLING SCHEDULE",YO1 7PX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants Policy & Strategy Unit,FERA SCIENCE LIMITED,1011701543,49794,CHARGES IN RESPECT OF PROFESSIONAL SERVICES,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011701626,37490,20% RETENTION,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-08,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Strategy,RAINMAKER SOLUTIONS LTD,1011701581,35543.04,EVOLVE IT -DISCOVERY AND DESIGN PHASE,MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-14,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROF SERV - LEGAL DEBT RECOVERY COSTS,Finance Director & Branch,FLINT BISHOP LLP,1011701635,33974.33,COUNSEL FEES INV 52021,DE1 3HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,T N S UK LTD,1011701531,30516.8,"FSA CHEMICAL 2,PHASE 1 MATERIAL SIGNED OFF, JOB NO- 260138422",SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,T N S UK LTD,1011701733,30506.75,"EFFICACY OF RECALLS- CON BIZ AND LA, JOB NUMBER - 260138927",SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-21,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,Chief Scientist,ELSEVIER B V,1011701691,28594.98,GOVERNMENT EDITION FEE FOR PERIOD FROM OCT 1 2016 TOL SEP 30 2017,1043 NX,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,S K V COMMUNICATIONS,1011701523,26136,CAMPAIGN PR  AND SUPPORT -,M3 7NA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - LAUNDRY,Operational Delivery,APPARELMASTER UK LTD,1011701661,25974.03,REGION 546 NEW CONTRACT,PR2 9ZD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-15,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,Chief Scientist,UNIVERSITY OF WARWICK,1011701639,25291.09,FSA-PHE ACADMEIC WORKSHOP,CV4 8UW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-12-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,S K V COMMUNICATIONS,1011701523,24960,ACRYLAMIDE CAMPAIGN PR COST,M3 7NA,PROGRAMME
