DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-27,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,Security & Estates,MINISTRY OF JUSTICE,2012700721,580887.95,"CLIVE HOUSE RENT  Redacted under s.43 of the FOI Act	",NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-27,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,MINISTRY OF JUSTICE,2012700721,268302.59,CLIVE HOUSE RENT   Redacted under s.43 of the FOI Act,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-27,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,Security & Estates,MINISTRY OF JUSTICE,2012700721,202849.36,CLIVE HOUSE RENT   Redacted under s.43 of the FOI Act,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-27,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,MINISTRY OF JUSTICE,2012700721,175921.81,CLIVE HOUSE RENT   Redacted under s.43 of the FOI Act,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-27,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,MINISTRY OF JUSTICE,2012700721,133292.91,CLIVE HOUSE RENT   Redacted under s.43 of the FOI Act,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-13,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011711444,124568.58,2019-20 LPFA pension deficit reduction,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-10,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,Operational Delivery,NOT BINARY LTD,1011711389,95250,Meat Plant Inspection Service Discovery Phase 2,E1 6JE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011711361,64502.4,IT24 Var 2 - Azure CSP ? Consumption ,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,COMPUTACENTER UK LTD,1011711367,43316.59,Adobe License Renewals,AL10 9TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700717,36022.5,Shellfish biotoxin analysis costs 2019/20,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011711344,31655,Datacentre Discovery and Design Azure Managed Service (WP4),EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-30,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,Regulatory Delivery,TRADING STANDARDS INSTITUTE (GRANTS),1011711563,30927.5,Feed Off. Conts 2019 / 20 NTS/TSI fees. Feed Official Controls funding 2019 / 20: Programme Management Costs (TSI/CTSI) (FS616020),SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientific Advisors team,UNIVERSITY OF LINCOLN,1011711408,30000,Developing Data Trusts for the Food Supply Chain,LN6 7TS,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011711470,28994.93,Funds for 2019/20 Bulk PO11770002606 to fulfill operations delivery,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientific Advisors team,BRITAIN THINKS,1011711357,28705,"Rapid evidence assessment, qualitative workshops and a quantitative survey on what gen Z think about food",WC2R 1LA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NEXT GENERATION - HR,Organisational Development,CABINET OFFICE,2012700713,28027.87,CIVIL SERVICE HR EXPERT SERVICES: 2019/20,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-12-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER,Chief Scientific Advisors team,UNIVERSITY COLLEGE LONDON,1011711369,25000,Research Fellow at UCL to carry out a programme of research for ROF under the co-supervision of UCL ,WC1E 6BT,ADMIN
