DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier ,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ? research and development,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",1011714516,347567.62,Retention/Final Delivery,OX1 2JD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-18,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011714630,250000,SOP1-699912-173305-173858-LPFA VOLUNTARY ERS,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Sampling, Strategy & Laboratory Policy (SSLP)",HAMPSHIRE SCIENTIFIC SERVICE HAMPSHIRE COUNTY COUNCIL,1011714467,195724.1,Covid-19 surveillance sampling programme,SO23 8UB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Novel Foods, GM, Radiological and Feed Additives",C E F A S,2012700910,158244,Deliverable 02/13 - Year 3 (task 02/35): RIFE 25 Report,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011714681,73014,Supply of Data Science Capability November 2020,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011714681,24120,FSA715 FSA Surveillance Programme ? Data Science Core Team,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ? research and development,FERA SCIENCE LIMITED,1011714665,45277.55,What is the Burden of AMR Genes in Selected Ready-to-Eat Foods?,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ? research and development,FERA SCIENCE LIMITED,1011714665,52724.8,FS307035 - Antimicrobial Resistance in Biofilms Formed During Secondary Food Processing of Meat and Meat Products,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011714511,86365.82,IT24 Var 2 - Azure CSP ? Consumption Oct 20,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011714716,84997.04,IT24 Var 2 - Azure CSP ? Consumption Nov 20,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Novel Foods, GM, Radiological and Feed Additives",C E F A S,2012700911,77054.94,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011714612,75036,Supply of Data Science Capability October 2020,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-17,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,LITTLE FISH UK LTD,1011714608,20843.5,IT19 Build Manage & Maintain (EUC) (Sep 20 - Mar 21),NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-17,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,LITTLE FISH UK LTD,1011714608,32264,IT25 Helpdesk Servicedesk (Sep 20 - Mar 21),NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ? research and development,EPIMORPHICS LTD,1011714583,60046,FSA581 WP30 - Regulated Products Register,BS20 6PT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700905,22294,Shellfish Classification Management,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700905,36559.08,Shellfish Biotoxin Analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Science Strategy, Capability and Research",QUADRAM INSTITUTE BIOSCIENCE,1011714498,62500,"FS101185 - This is a five-year joint research fellowship between the FSA and Quadram Institutes Biosciences (QIB), to develop a programme of work on bacterial foodborne pathogens and food safety.",NR4 7UA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Science Strategy, Capability and Research",CAMPDEN BRI,1011714475,-24810.4,SEF Project - Comparing international food production processes to assess UK?s potential exposure to foodborne disease risk from imported products,GL55 6LD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Science Strategy, Capability and Research",CAMPDEN BRI,1011714475,84739.28,SEF Project - Comparing international food production processes to assess UK?s potential exposure to foodborne disease risk from imported products,GL55 6LD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-30,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Service Delivery,CISCO INTERNATIONAL LTD,1011714708,53993.64,Cisco 3 year support and Maintenance Licenses,CF10 5BT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-30,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Service Delivery,CISCO INTERNATIONAL LTD,1011714708,10798.72,UK VAT - UK VAT,CF10 5BT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011714532,5201.2,Bulk PO additional funds 11770002606 Fields OPs,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011714532,36669.17,PPE Bulk purchase order funds 11770002606  20/21,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011714446,36185,IT24 Datacentre and Hosting,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011714446,7237,UK VAT - UK VAT,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NEXT GENERATION - HR,People & Organisational Change,CABINET OFFICE,2012700913,34488.14,2020/21 CSHR Expert service,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NEXT GENERATION - HR,People & Organisational Change,CABINET OFFICE,2012700913,6897.63,UK VAT - UK VAT,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011714692,36185,IT24 Datacentre and Hosting,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011714692,7237,UK VAT - UK VAT,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-12-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,Finance Director & Branch,AON UK LTD,1011714558,59.89,AON Business Travel Insurance 2020 2021,LS27 0TS,ADMIN
