DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-12,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,OWOW,BERWIN LEIGHTON PAISNER,10000118,1448550,Physical Spaces ?,EC4R 9HA,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery ,TRADING STANDARDS INSTITUTE (GRANTS),1011705169,274068.62,Feed Off. Conts 2017/18 Prog delivery (inland/ports). Feed Official Controls funding 2017/18: To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2017/18.,SS15 6TH,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery ,TRADING STANDARDS INSTITUTE (GRANTS),1011705169,136976.41,Feed Off: To deliver a programme of Official Controls (Food Hygiene at Primary Production) in 2017/18.,SS15 6TH,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-19,Exp - Purchase Of Goods/Services - Consultancy,Regulating our Future,IBM UNITED KINGDOM LTD,1011705156,122050,"ROF _ Food business registration, segmentation and single view (Alpha Stage)",PO6 3AE,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-12,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Strategy,COREAZURE LTD,1011705059,118732,Datacentre Discovery and Design - Milestone 3: Fixed Price Azure Infrastructure Build (WP2a),EC1A 4EN,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-20,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,EXPONENTIAL E LTD,1011705163,117867.67,"Year 1 - Operate Charge - Remote Site Circuits (157 FTTC, 63 ADSL)",E1 8EU,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Allergens,UNIVERSITY OF BATH,1011705066,95300,FS305013: RETENTION,BA2 7AY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulating our Future,KPMG LLP,1011705044,94350,"Research, survey and report into the baseline cost of FSA regulation falling to food business operators (FBOs)",WD17 1DE,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-19,EXP - PURCHASE OF GOODS/SERVICES  - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,IT Strategy,RAINMAKER SOLUTIONS LTD,1011705154,90674.21,Work Package 6,MK18 1HD,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Digital,WUNDER LTD,1011705124,72818.61,FS401001 - The suppliers will help to develop a new website that meets our users? needs based on four key services. Beta part: October 2017 to March 2018,N1 9AB,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-19,EXP - PURCHASE OF GOODS/SERVICES  - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,IT Strategy,RAINMAKER SOLUTIONS LTD,1011705154,58101,Work Package 6,MK18 1HD,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery ,ALLIED PUBLICITY SERVICES MANCHESTER LTD T/A APS GROUP,1011705150,53043.02,APS - FHRS window and wall sticker reprint for England and Wales,SK3 0ZP,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Strategy,SERVICENOW UK LTD,1011705123,50688,"ServiceNow, Annual subscription 2018",TW18 4TW,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-19,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Strategy,COREAZURE LTD,1011705148,42779,Datacentre Discovery and Design - Milestone 4a: Fixed Price Migration (WP2b),EC1A 4EN,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-13,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,OWOW,BELL INTEGRATED COMMUNICATIONS LTD,1011705088,38207.2,Physical Spaces ?  Branding for Clive House and Foss House.,WC2H 0AU,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011705007,31655,Datacentre Discovery and Design - Fixed Price - Azure Managed Service (WP4),EC1A 4EN,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-12,EXP - AMORTISATION - INTANGIBLE ASSETS,Regulatory Delivery ,R H ENVIRONMENTAL LTD,1011705063,31350,"Smarter Communications with Local Authorities in England - (Development of the Solution, Deployment of the solution to all LA's)",SA38 9AR,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery ,TRADING STANDARDS INSTITUTE (GRANTS),1011705034,30872.5,Feed Off. Conts 2017/18 NTS/TSI fees. Feed Official Controls funding 2017/18: NTS/TSI fees.,SS15 6TH,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011705201,29115.79,EDF ENERGY INVOICE 3830549,EX1 3UT,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-07,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - RECRUITMENT ADVERTISING,Organisational Development,CABINET OFFICE,2012700363,28931.53,Recruitment campaign for FSA - Chief Operating Officer,SW1A 2AS,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-22,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,COMPUTACENTER UK LTD,1011705198,26172.36,Clive House IT equipment - capex,AL10 9TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-09,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,Regulating our Future,COMOTION CONSULTING LTD,1011705047,24950,ROF - FHRS Vision and Ambition Support,EC1A 9PT,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-15,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Strategy,LITTLE FISH UK LTD,1011705119,24830,Office Move Costs,NG1 1LS,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-19,Exp - Purchase Of Goods/Services - Consultancy,Regulating our Future,IBM UNITED KINGDOM LTD,1011705156,24410,"PERIOD : 01.01.2018 - 30.01.2018 ROF _ Food business registration, segmentation and single view (Alpha Stage)",PO6 3AE,Admin
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-02-09,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,LITTLE FISH UK LTD,1011705045,24264,Monthly Service Charge Sept 17 - Mar 18,NG1 1LS,Admin
