DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,Security & Estates,MINISTRY OF JUSTICE,30000003,849613.1,Q1-3 ACCOMMODATION COSTS CLIVE HOUSE 18/19,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,OWOW,MINISTRY OF JUSTICE,30000002,569127.53,ACCOMMODATION COSTS Q3-4 2017-18 CLIVE HOUSE,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,MINISTRY OF JUSTICE,30000003,387563.29,Q1-3 ACCOMMODATION COSTS CLIVE HOUSE 18/19,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,OWOW,MINISTRY OF JUSTICE,30000002,241161.18,ACCOMMODATION COSTS Q3-4 2017-18 CLIVE HOUSE,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,Security & Estates,MINISTRY OF JUSTICE,30000003,221479.71,Q1-3 ACCOMMODATION COSTS CLIVE HOUSE 18/19,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Novel Foods, GM, Radiological and Feed Additives",C E F A S,2012700594,154109.88,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ? research and development,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",1011709036,152002.11,Project funds uplift to existing PO 422784.,OX1 2JD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-07,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,NFCU Phase 2,INTEX PROJECTS LTD,10000153,147970.98,WORKS CARRIED OUT AT APEX HOUSE BIRMINGHAM,CV35 8XB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,OWOW,MINISTRY OF JUSTICE,30000002,146091.98,ACCOMMODATION COSTS Q3-4 2017-18 CLIVE HOUSE,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-14,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011708879,121657.75,2018-19 LPFA Pension Deficit reduction.,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-26,EXP - AMORTISATION - INTANGIBLE ASSETS,Regulating our Future,EPIMORPHICS LTD,1011709004,98060.51,ROF - WP 15 - UV Phase 1 Build,BS20 6PT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,NFCU Phase 2,INTEX PROJECTS LTD,1011709042,76178.4,FINAL INVOICE FOR WORKS CARRIED OUT AT APEX HOUSE BIRMINGHAM,CV35 8XB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700594,72525,Shellfish biotoxin monitoring 2018/19,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Scientific Methods & Laboratory Policy,ERNST & YOUNG LLP,1011708918,71535.94,FS101212-Funding for the 2nd phase review of UK's official control laboratories in food and feed enforcement ,SE1 2AF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,MINISTRY OF JUSTICE,30000003,68436.63,Q1-3 ACCOMMODATION COSTS CLIVE HOUSE 18/19,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-07,EXP - AMORTISATION - INTANGIBLE ASSETS,Operational Delivery,LITTLE FISH UK LTD,1011708763,67836.4,IT in Meat Plants - Thin Client Phase 2 - Attended Installation,NG1 1LS,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-13,EXP - AMORTISATION - INTANGIBLE ASSETS,NFCU Phase 2,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,1011708858,62401.89,Systems Integrator ? Work package 1,EC1A 4EN,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,SOURCECODE UK LTD T/A K2.NET UK,1011708941,60420,K2 Cloud Premier Licenses for (quantity redacted FOI s.43),KT13 0NY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-07,Exp - Purchase Of Goods/Services - Consultancy,Operations Assurance ,DELOITTE MCS LTD,1011708760,58960.8,Management Consultant Services FSA599 - Delivery of Official Controls Strategic Review,MK9 1FD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Animal Feed, Foodborne Disease and Allergy (AFFDA)",PUBLIC HEALTH ENGLAND,2012700598,57347.3,"FS102121-(Bulk order)Ongoing project in which chickens sold at retail are tested for Campylobacter levels. Work includes sampling, testing & analysis on samples collected on a nationwide basis.",NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Risk Assessment ? research and development,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",1011709036,57236.82,D12 - Hold 8th Steering Group meeting (incorporating 12th Management Group meeting),OX1 2JD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-21,EXP - AMORTISATION - INTANGIBLE ASSETS,Regulating our Future,EPIMORPHICS LTD,1011708955,56250,ROF - WP 15 - UV Phase 1 Build,BS20 6PT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,IT Information & Knowledge Management,ACCENTURE UK LTD,1011708725,45500,Distributed Ledger Technology (DLT) for Export Health Certification,EC3M 3BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,IT Information & Knowledge Management,ACCENTURE UK LTD,1011709064,45500,Distributed Ledger Technology (DLT) for Export Health Certification,EC3M 3BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700594,42153.13,Shellfish classification,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-14,EXP - AMORTISATION - INTANGIBLE ASSETS,Regulating our Future,EPIMORPHICS LTD,1011708874,41950,ROF - WP 15 - UV Phase 1 Build,BS20 6PT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER,Analytics Unit,UNIVERSITY OF KENT,1011708967,41575,Nationally representative discrete choice survey on food preferences,CT2 7NZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,N L A MEDIA ACCESS LIMITED,1011708996,40071.41,NLA - renewal of copyright licence ,TN1 1NL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700582,36262.5,Shellfish biotoxin monitoring 2018/19,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,OWOW,MINISTRY OF JUSTICE,30000002,36191.25,ACCOMMODATION COSTS Q3-4 2017-18 CLIVE HOUSE,NP20 9BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-26,EXP - AMORTISATION - INTANGIBLE ASSETS,Operational Delivery,LITTLE FISH UK LTD,1011709001,34405.84,IT in Meat Plants - Thin Client Phase 2 - Attended Installation,NG1 1LS,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011708730,31655,Datacentre Discovery and Design,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,C E F A S,2012700593,31250,FAO Reference Centre for Bivalve Mollusc Sanitation,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-29,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,Operational Delivery,DUN & BRADSTREET LTD,1011709069,30467.25,Market Insight to support Risk Assessment of FBOs,SL7 1AJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-03-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011708870,29779.71,Additional funds for Bulk PO 11770002606,HU1 2SJ,PROGRAMME
