DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-12,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,Regulatory Delivery,TRADING STANDARDS INSTITUTE (GRANTS),1011709328,229500,Feed Off. Conts 2019 / 20 Prog delivery (inland/ports). Feed Official Controls funding 2019 / 20,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-23,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011709409,124568.62,2019-20 LPFA pension deficit reduction,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,PUBLIC HEALTH ENGLAND,2012700619,116003.82,FS516010: NRL for Microbiology (1 April 2017-31 March 2019) ,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientific Advisors team,UNIVERSITY COLLEGE LONDON,1011709293,93657.4,Post-Doctoral Research Fellow in Data Science (Deliverable 2),WC1E 6BT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-09,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Information & Knowledge Management,ELASTACLOUD LTD,1011709255,91200,Data Analysis & Modelling for Food Business RiskStratification & Azure Data Platform Development,EC1N 2SW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,WORLD HEALTH ORGANIZATION,20000078,87645.91,CONTRIBUTION TO INFOSAN UPGRADE,SWITZERLAND,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-02,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Information & Knowledge Management,ELASTACLOUD LTD,1011709121,75700,Data Analysis & Modelling for Food Business RiskStratification & Azure Data Platform Development,EC1N 2SW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-02,EXP - AMORTISATION - INTANGIBLE ASSETS,NFCU Phase 2,4 NET,1011709123,68386,VC Units in Apex House,M32 0TR,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011709465,55082.08,Azure CSP Consumption 18/19,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2019-04-02,EXP - AMORTISATION - INTANGIBLE ASSETS,Operational Delivery,LITTLE FISH UK LTD,1011709132,54626.69,IT in Meat Plants - Thin Client Phase 2 - Attended Installation,NG1 1LS,CAPITAL
