DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"NOVEL FOODS, GM, RADIOLOGICAL AND FEED ADDITIVES",C E F A S,2012700797,158244,FS101210 - Deliverable 02/13 - (task 02/23): RIFE 24 Report,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-03,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,MOZAIC SERVICES LTD,1011712515,134294.03,Development & Enhancements to Service Now,EC2R 7HG,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-06,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,Food Hypersensitivities,NOT BINARY LTD,1011712534,109200,FSA Allergens Discovery Phase 2 ,E1 6JE,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011712745,90961.1,IT24 Var 2 - Azure CSP ? ,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-22,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,OPERATIONAL DELIVERY,RAINMAKER SOLUTIONS LTD,1011712685,80000, Discovery to improve ourStatement of Resources (SORs),W1A 6US,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance and Data,COGNIZANT WORLDWIDE LTD,1011712650,72170,Cognizant - Data Science Core Team- uplift,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance and Data,COGNIZANT WORLDWIDE LTD,1011712667,72170,Cognizant - Data Science Core Team (Surveillance),W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,PUBLIC HEALTH ENGLAND,2012700799,69742.44,National Reference Laboratory for Microbiology,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-16,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,Surveillance and Data,COGNIZANT WORLDWIDE LTD,1011712626,68200,Supply of AI Data Science Capability,W2 6BD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance and Data,COGNIZANT WORLDWIDE LTD,1011712489,63870,Cognizant - Data Science Core Team (Surveillance),W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,ANIMAL AND PLANT HEALTH AGENCY,2012700784,57717.16,"FS102109-EU Harmonised Survey of AMR in Retail Meats (APHA, Year 5) f",KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-06,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,OPERATIONAL DELIVERY,RAINMAKER SOLUTIONS LTD,1011712529,50000, Discovery to improve ourStatement of Resources (SORs),W1A 6US,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS - MEETING ROOM HIRE,COMMS,MSQ PARTNERS GROUP LTD,1011712556,47674.47,MSQ - FSA 2020,W1T 4TJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER,COMMS,N L A MEDIA ACCESS LIMITED,1011712589,37958.66,NLA - licensing subscription to allow us to have Gorkana press cuttings,TN1 1NL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,OPERATIONAL DELIVERY,ARCO UK LTD,1011712620,37185.78,Bulk PO additional funds 11770002606 Fields OPs,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,2CV LTD,1011712649,36675.5,Developing a risk communication toolkit,WC2H 8DL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS,REGULATORY & INTERNATIONAL,FOREIGN & COMMONWEALTH OFFICE,2012700798,36174.75,FCO 2020/21 Platform Charges and Residential Costs for FSA Staff member  - redacted under section 40 FOI Act,MK10 1PX,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,COMMS,MSQ PARTNERS GROUP LTD,1011712539,34994.61,MSQ - FSA COVID Scenario Planning and Beyond,W1T 4TJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-06,Exp - Purchase Of Goods/Services - Consultancy,PEOPLE & ORGANISATIONAL CHANGE,TALIK & COMPANY LTD,1011712530,33344.81,Supply of Organisational Design Proposal ,MK17 0PD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,LONDON ECONOMICS LTD,1011712686,32656,Research Project - Evaluation of Trust in the UK Food System,WC2R 1LA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,COMMUNITY RESEARCH LTD,1011712770,30241,"Qualitative and quantitative research with FBO's in the meat, wine and dairy industries",LE9 4WB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-29,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE DELIVERY,DAISY CORPORATE SERVICES,1011712762,28598.74,Wisdom Support,BB9 5SR,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-07,Exp - Purchase Of Goods/Services - Consultancy,CHIEF SCIENTIFIC ADVISORS TEAM,RISKSOL CONSULTING LTD T/A RISK SOLUTIONS,1011712553,28233.47,Valuing FSA R&D research project.,WA2 7LT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-03,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,MOZAIC SERVICES LTD,1011712515,26858.81,SERVICES NOW ENGAGEMENT LEAD,EC2R 7HG,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-14,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CHIEF SCIENTIFIC ADVISORS TEAM,CABINET OFFICE,2012700788,26220.96,Continuation of Fast Stream Programme where staff come to FSA for placements in CSAT,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-04-08,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,CHIEF SCIENTIFIC ADVISORS TEAM,NOT BINARY LTD,1011712576,25000,SAC Website Redevelopment Discovery,E1 6JE,ADMIN
