DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-20,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011712950,459223.51,To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2019 / 20. ,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-20,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011712950,140526.6, To deliver a programme of Official Controls (Food Hygiene at Primary Production) in 2019 / 20.,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-22,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,OPERATIONAL DELIVERY,NOT BINARY LTD,1011712980,140000,Field Ops Inspections Discovery,E1 6JE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-07,EXP - AMORTISATION - INTANGIBLE ASSETS,IT SERVICE DELIVERY,COMPUTACENTER UK LTD,1011712833,124149,Lenovo T490s,AL10 9TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-22,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,OPERATIONAL DELIVERY,NOT BINARY LTD,1011712980,119950,FCI CCIR Discovery ,E1 6JE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-27,Redacted under s43 FOI Act,OPERATIONAL DELIVERY,Redacted under s43 FOI Act,1011713031,111289.44,Redacted under s43 FOI Act,Redacted under s43 FOI Act,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Hypersensitivities,NOT BINARY LTD,1011712980,100800,FSA Allergens Discovery,E1 6JE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-12,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,ESTATES,MINISTRY OF JUSTICE,2012700812,100710,SOP1-627585-173305-173858-2322639,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-22,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,REGULATORY DELIVERY,NOT BINARY LTD,1011712980,75300,Safer Food for Better Business Discovery,E1 6JE,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance and Data,COGNIZANT WORLDWIDE LTD,1011712932,68690,Cognizant - Data Science Core Team- uplift,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-22,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,CORPORATE SUPPORT UNIT,NOT BINARY LTD,1011712980,67500,FSA Helpline and Contact Center Discovery,E1 6JE,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIFIC ADVISORS TEAM,QUADRAM INSTITUTE BIOSCIENCE,1011712856,62500,"Joint research fellowship between the FSA and Quadram Institutes Biosciences (QIB), to develop a programme of work on bacterial foodborne pathogens and food safety.",NR4 7UA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700818,36559.08,Shellfish Biotoxin Analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011712781,36185,IT24 Variation 2 Managed Services,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-11,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011712857,32264,IT25 Helpdesk Servicedesk,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-20,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011712950,30927.5,Feed Official Controls funding 2019 / 20: Programme Management Costs (TSI/CTSI) (FS616020),SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,KANTAR UK,1011712941,29811,Behavioural Change Field Trials Hand washing,W5 2AU,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,BYTES SOFTWARE SERVICES LTD,1011712913,28336.57,FSA718 Adobe Licenses under CCS ETLA,KT22 7TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Hypersensitivities,MASTEK UK LTD,1011712873,27750,Programme and Project Management support,RG1 8BW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-12,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PUBLICATIONS,"DATA, INFORMATION, GOVERNANCE AND SECURITY",RESTORE PLC,1011712874,26936,Retrieval from offsite storage,RH1 5DY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-18,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,Surveillance and Data,COGNIZANT WORLDWIDE LTD,1011712932,26750,FSA574 FSA Surveillance Programme ?,W2 6BD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-27,EXP - AMORTISATION - INTANGIBLE ASSETS,DIGITAL,EPIMORPHICS LTD,1011713024,26535.15,Work Package 22 - UV Updates ,BS20 6PT,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,DIGITAL,EPIMORPHICS LTD,1011712824,25875,data.food.gov.uk priority updates,BS20 6PT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-14,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,FINANCE,SHARED SERVICES CONNECTED LTD,1011712910,25639.95,SSCL Core charge management services ,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-01,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,"DATA, INFORMATION, GOVERNANCE AND SECURITY",CIVICA UK LTD,1011712773,25584.69,Work to be completed to resolve security issues with RaFB.,DY1 4TD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIFIC ADVISORS TEAM,UNIVERSITY OF LINCOLN,1011712863,25200,Developing Data Trusts for the Food Supply Chain,LN6 7TS,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-07,EXP - AMORTISATION - INTANGIBLE ASSETS,IT SERVICE DELIVERY,COMPUTACENTER UK LTD,1011712833,24829.8,Lenovo TP T490s,AL10 9TW,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-11,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011712857,24611,IT19 Build Manage & Maintain (EUC) ,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-04,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,NFCU I - Analysis,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,1011712785,24405,Phase one of Digital Asset Management Project. Methods to support the selection of a new DAM soltuion.,EC1A 4EN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-20,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - MOBILE PHONES,IT SERVICE DELIVERY,EE LTD,1011712946,23626.45,EE Mobile Contract  - additional line,AL10 9BW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-07,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - MOBILE PHONES,IT SERVICE DELIVERY,EE LTD,1011712834,23506.29,EE Mobile Contract - additional line,AL10 9BW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,PROCUREMENT,BRAVOSOLUTION UK LTD,1011712776,22500,subscription for Bravo e-sourcing suite,EC2M 7AD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700818,22294,Shellfish Classification Management,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-05-27,Redacted under s43 FOI Act,OPERATIONAL DELIVERY,Redacted under s43 FOI Act,1011713031,22257.89,Redacted under s43 FOI Act,Redacted under s43 FOI Act,PROGRAMME
