DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,SECURITY & ESTATES,D T Z,1011700076,1841181.65,Aviation House Q2 Rent,EC2N 2BQ,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - CURRENT GRANTS TO CENTRAL GOVERNMENT,ANIMAL FEED,TRADING STANDARDS INSTITUTE (GRANTS),10000001,560086.95,CHAPS- FEED OFFICIAL CONTROLS 2015-16 PROJECT COSTS,SS15 6TH,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - RENTALS UNDER NON-PFI OPERATING LEASES - OTHER RENTALS - RENT,SECURITY & ESTATES,D T Z,1011700076,368236.33,Aviation House Q2 Rent - VAT charge,EC2N 2BQ,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - CURRENT GRANTS TO CENTRAL GOVERNMENT,ANIMAL FEED,TRADING STANDARDS INSTITUTE (GRANTS),10000001,320228.06,CHAPS - FEED OFFICIAL CONTROLS 2015-16 PROJECT COSTS,SS15 6TH,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-26,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT SERVICE DELIVERY,CAPITA SECURE INFORMATION SOLUTIONS LTD,10000018,279190.83,May 2016 CAPITA MONTHLY CORE SERVICE CHARGE,SN14 0TW,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,FINANCE DIVISION,LONDON PENSIONS FUND AUTHORITY,1011700079,149333,LPFA Deficit Reduction Payment June 2016,EC3N 4LP,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-21,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,SECURITY & ESTATES,LONDON BOROUGH OF CAMDEN,1011700137,105468,Camden Rates - June  2016,WC1H 8EQ,Admin 
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,HEAD OF DIVISION & RADIOLOGICAL UNIT,C E F A S,2012700003,69649.85,FS102066: D05/06 Cefas -Ongoing contract from PO 418529 ,NR33 0HT,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-14,EXP - CURRENT GRANTS TO CENTRAL GOVERNMENT,ANIMAL FEED,TRADING STANDARDS INSTITUTE (GRANTS),10000001,65973.2,CHAPS  FEED OFFICIAL CONTROLS 2015-16 PROJECT COSTS,SS15 6TH,Programme
FOOD STANDARDS AGENCY,FOOD STANDARDS AGENCY,2016-06-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,CHIEF SCIENTIST,UNIVERSITY OF SOUTHAMPTON,1011700161,50000,FS101146- Delivery of outputs of programme. 31/03/2016,SO17 1BJ,Programme
