DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-16,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,SECURITY & ESTATES,MINISTRY OF JUSTICE,2012700834,568419.4,SOP1-637438-900911-900703-MOTO  RECHARGE CLIVE HOUSE,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,PHOENIX SOFTWARE LIMITED,1011713200,463932.15,Microsoft Enterprise License Renewals,YO42 1NS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-24,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011713253,229500,Feed Off. Costs 2020/21 Prog delivery (inland/ports). Feed Official Controls funding 2020/21. To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2020/21. (FS225002),SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,PHOENIX SOFTWARE LIMITED,1011713200,92786.43,UK VAT - UK VAT,YO42 1NS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011713219,78314.58,IT24 Var 1 - Azure CSP - Consumption - additional line,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"NOVEL FOODS, GM, RADIOLOGICAL AND FEED ADDITIVES",C E F A S,2012700826,77054.94,FS101211 - Sampling and analysis contact to be undertaken by CEFAS,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ALLERGY & INTOLERANCE,CAMBRIDGE UNIVERSITY HOSP NHSFT,2012700828,63328.05,FS241037-D57: Submit draft final technical report ,CB2 0QQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,IFF RESEARCH LTD,1011713077,50000,Follow-up to baseline study on food industry provision of allergy information,N1  6DD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT SERVICE DELIVERY,PHOENIX SOFTWARE LIMITED,1011713200,42645.96,Quote number 01170099 Microsoft Azure License Renewals,YO42 1NS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-06-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"SCIENCE STRATEGY, CAPABILITY AND RESEARCH",CAMPDEN BRI,1011713281,39312.72,SEF Project - Comparing international food production processes to assess UK?s potential exposure to foodborne disease risk from imported products,GL55 6LD,PROGRAMME
