DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,OPERATIONAL DELIVERY,ARCO UK LTD,1011713448,98404.54,Separate Line for Purchase of PPE whilst  Vat is Zero,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011713334,91932.13,IT24 - Azure CSP - May 2020 Consumption - additional line,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,FERA SCIENCE LIMITED,1011713322,78991.24,What is the Burden of AMR Genes in Selected Ready-to-Eat Foods?,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,ACHIEVING BUSINESS COMPLIANCE,DELOITTE LLP,1011713536,70900,ABC - Support to Achieving Business Compliance,MK9 1FD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,PUBLIC HEALTH ENGLAND,2012700845,64404.51,FS516010 - National Reference Laboratory for Microbiology,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,ALLIED PUBLICITY SERVICES MANCHESTER LTD T/A APS GROUP,1011713485,58805.14,FHRS Sticker Reprint 20/21 Our reference CCS0420542332-SE-0002027460,SK3 0ZP,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONAL ASSURANCE,DELOITTE LLP,1011713383,57375,FS430404 - Operation Transformation Delivery Project - Strategic Partner,MK9 1FD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,C E F A S,2012700840,57230,A 1-year call-off agreement to extend the provision of marine models for risk assessments.,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-09,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,OPERATIONAL ASSURANCE,DELOITTE LLP,1011713383,55825,FS430404 - Operation Transformation Delivery Project - Strategic Partner,MK9 1FD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,IPSOS MORI,1011713331,45250,FS302001 Food & You Wave 6 ,E1W 1YW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYTICS UNIT,ASTON UNIVERSITY,1011713477,43670.17,"Food hypersensitivities: Capturing Quality of Life (QoL), BehaviouralMeasures and Willingness to Pay (WTP) in the UK",B4 7ET,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-07,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,FOOD INCIDENTS AND RESILIENCE PROG(PROG),RAINMAKER SOLUTIONS LTD,1011713346,40025,Incidents Beta Development (Phase 1)Redacted under s40 FOI,W1A 6US,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011713516,38785,Cognizant - Data Science Core Team- uplift,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700847,36559.08,Shellfish Biotoxin Analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011713334,36185,IT24 Variation 2 Managed Services,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-31,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011713559,36185,IT24 Datacentre and Hosting,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-09,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,NFCU I - Analysis,GEOFF SMITH ASSOCIATES LTD,1011713384,32923.44,Covert Operations Management,LE67 1UE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-09,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011713388,32264,IT25 Helpdesk Servicedesk ,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-27,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011713506,32264,IT25 Helpdesk Servicedesk ),NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-01,EXP - PERMANENT UK STAFF - EMPLOYER'S SOCIAL SECURITY COSTS -OFFICE BASED,FINANCE,H M REVENUE & CUSTOMS,1011713305,30854.24,SOP1-640951-173305-173858-P11D NICS,BD98 1YY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,LGC LTD,1011713411,27113.44,FS616035 - National Reference Laboratory for Feed Additives,TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-07-06,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,FINANCE,SHARED SERVICES CONNECTED LTD,1011713341,26016.99,SSCL Core charge management services ,HP2 7AH,ADMIN
