DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-01,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700490,279190.83,CORE SERVICE CHARGE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-25,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700725,279190.83,AUG2016 CORE SERVICE CHARGE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011700695,189775.35,Feed Off. Conts 2016/17 Prog delivery (inland/ports). Feed Official Controls funding 2016/17: To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2016/17.,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011700642,149333,AUG 16 FUND VALUATION,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-17,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011700642,149333,JULY 2016 FUND VALUATION,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011700610,145955,P11949.00,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011700695,132123.58,Feed Off. Conts 2016/17 Prog delivery (FH@PP). Feed Official Controls funding 2016/17: To deliver a programme of Official Controls (Food Hygiene at Primary Production) in 2016/17.,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-04,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,LONDON BOROUGH OF CAMDEN,1011700525,105468,BUSINESS RATES,WC1H 8EQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,PUBLIC HEALTH ENGLAND,2012700042,88234.06,FS516010,SP4 0JG,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,ANIMAL AND PLANT HEALTH AGENCY,2012700033,71163.45,COMPLETION OF STUDY DESIGN,KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER,Food Production Branch,MEDICAL RESEARCH COUNCIL,2012700038,70000,G1100799/1,SN2 1ET,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700039,69649.85,INVOICE FOR JULY 2016,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,ANIMAL AND PLANT HEALTH AGENCY,1011700716,50380,PO 422255 REPORTABLE DISEASE,KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-08-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,MACLAREN WEST LTD,1011700493,46300,FINAL PAYMENT FOR UKFSS,G68 9JS,PROGRAMME
