DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,PUBLIC HEALTH ENGLAND,2012700494,500000,CO-FUNDING OF NATIONAL DIETARY AND NUTRITION SURVEY (NDNS) BY THE AGENCY,OX11 0RQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operations Local Delivery ,TRADING STANDARDS INSTITUTE (GRANTS),1011706992,179618.31,Feed Off. Conts 2018/19 Prog delivery (inland/ports). Feed Official Controls funding 2018/19:,SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-16,EXP - RENTALS UNDER NON PFI OPERATING LEASES -OTHER RENTAL- RENT OUTSIDE LONDON,Security & Estates,MONTAGU EVANS LLP,1011706909,132775.87, York Foss house Rent and rates ,EH3 8EG,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-07,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - CIVIL SERVICE ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011706798,121657.75,2018-19 LPFA Pension Deficit,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-20,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - CIVIL SERVICE ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011706948,121657.75,2018-19 LPFA Pension Deficit,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operations Local Delivery ,TRADING STANDARDS INSTITUTE (GRANTS),1011706992,70060.4,Feed Off. Conts 2018/19 Prog delivery (FH@PP). Feed Official Controls funding 2018/19: ,SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-10,Redacted,Redacted,Redacted,Redacted,70000,Redacted,Redacted,Redacted
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-01,Exp - Purchase Of Goods/Services - Consultancy,NFCU Phase 2,PA CONSULTING SERVICES LTD,1011706738,65066,FSA572: Work package 2 ? NFCU Phase 2,SG8 6DP,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-21,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,Operational Delivery,EXPONENTIAL E LTD,1011706953,56031,IT in Meat Plants - Plant routing changes,E1 8EU,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,PUBLIC HEALTH ENGLAND,2012700483,52370.37,Retention -invoice due 31/March/2018,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011707013,43524.26,Additional Line for PO 11770002606 - 2 year extension to contract,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011706954,39196.08,"Datacentre Discovery and Design - Variable - Azure Basket of Goods - VMs, OMS & Storage (WP5)",EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,RAND EUROPE COMMUNITY INTEREST CO,1011706757,38024.64,Rand Europe - Project FS301042 SC-RAND Food Foresight Desk Study,CB4 1YG,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011706786,37640.11,Additional Line for PO 11770002606 - 2 year extension to contract,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011706761,37640.08,"Datacentre Discovery and Design - Variable - Azure Basket of Goods - VMs, OMS & Storage (WP5)",EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700496,36262.5,Shellfish biotoxin monitoring 2018/19,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - AMORTISATION - INTANGIBLE ASSETS,Digital,WUNDER LTD,1011706866,35960,FSA583 WP02 - food.gov.uk analytics-translations-accessibility,N1 9AB,CAPITAL
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-17,EXP - PERMANENT UK STAFF - BONUSES ,Chief Scientist,UNIVERSITY OF SOUTHAMPTON,1011706931,33763.41,secondment ,SO17 1BJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011706761,31655,Datacentre Discovery and Design,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011706801,31095,Launch of W5 fieldwork,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-16,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,IT Service Delivery,CSC COMPUTER SCIENCES LTD,1011706911,30000,Subscription to the Leading Edge Forum - 1st August 2018 to 31st July 2019,GU11 1PZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-31,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - MOBILE PHONES,IT Service Delivery,EE LTD,1011707043,29500.84,EE Mobile Contract over 24 months,AL10 9BW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-09,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - RECRUITMENT ADVERTISING,OWOW,LINKEDIN IRELAND UNLIMITED COMPANY,1011706818,25030,12 months LinkeIn contract,DUBLIN 2,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700496,25011.84,Phytoplankton sampling shellfish 2018-19,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER,Chief Scientist,UNIVERSITY COLLEGE LONDON,1011706850,25000,FS601015: Research Fellow at UCL to carry out a programme of research for ROF under the co-supervision of UCL ,WC1E 6BT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,I C F CONSULTING SERVICES LTD,1011706991,24987.5,FS303018: Qualitative research Trust in a changing worldSummary: REA (rapid evidence assessment),EC4M 5SB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-10,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,LITTLE FISH UK LTD,1011706836,24611,Littlefish End service charge,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-10,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT Service Delivery,LITTLE FISH UK LTD,1011706836,24264,Littlefish End service charge,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-10,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011706844,24178.93,SSCL Core Charge Management Services 2018-19.  ,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-08,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - RECRUITMENT ADVERTISING,Organisational Development,CABINET OFFICE,2012700482,23189,Campaign agreement for FSA Director of Veterinary Service,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700496,21076,Shellfish classification,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-01,Exp - Purchase Of Goods/Services - Consultancy,NFCU Phase 2,PA CONSULTING SERVICES LTD,1011706738,13013.2,PROFESSIONAL FEES,SG8 6DP,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-21,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,Operational Delivery,EXPONENTIAL E LTD,1011706953,11206.2,PO11770003933,E1 8EU,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011707013,8704.83,PO 1177000260,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-01,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,Contaminants HoD,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706739,8170.64,TRAVEL EXPENSES WK 29,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,Operational Delivery,ARCO UK LTD,1011706786,7528.05,FOR GOODS,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-17,EXP - PERMANENT UK STAFF - BONUSES ,Chief Scientist,UNIVERSITY OF SOUTHAMPTON,1011706931,6752.68,SECONDMENT,SO17 1BJ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-16,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,IT Service Delivery,CSC COMPUTER SCIENCES LTD,1011706911,6000,SUBSCRIPTION TO THE LEADING EDGE FORUM,GU11 1PZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Operational Delivery,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706867,5048.09,TRAVEL EXPENSES WK 31,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-31,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - MOBILE PHONES,IT Service Delivery,EE LTD,1011707043,4140.81,ACCOUNT NO 98875624,AL10 9BW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-01,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706739,2460,TRAVEL EXPENSES WK 29,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,East 1,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706867,2076.43,TRAVEL EXPENSES WK 31,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-01,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Assurance ,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706739,2068,TRAVEL EXPENSES WK 29,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-01,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Local Delivery ,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706739,2066.25,TRAVEL EXPENSES WK 29,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706867,1926.65,TRAVEL EXPENSES WK 31,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Chief Executive & Private Office,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706867,1534.7,TRAVEL EXPENSES WK 31,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Organisational Development,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706867,1319.75,TRAVEL EXPENSES WK 31,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Corporate Support Unit,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706867,1290.7,TRAVEL EXPENSES WK 31,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-08-13,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,Operations Assurance ,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011706867,1286.11,TRAVEL EXPENSES WK 31,BD1 5HQ,PROGRAMME
