DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,ANALYSIS & RESEARCH BRANCH,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011707102,155529,First 2 months of W5 fieldwork,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FOODBORNE DISEASE CONTROL,ANIMAL AND PLANT HEALTH AGENCY,2012700515,138058.8,RESEARCH & DEV - REPORTABLE DISEASE & ZOONOSES,YO1 7PX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,123512,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-19,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,FINANCE,LONDON PENSIONS FUND AUTHORITY,1011707192,121657.75,2018-19 LPFA Pension Deficit reduction.,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-28,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL FOOD CRIME UNIT - PHASE 2,PA CONSULTING SERVICES LTD,1011707241,66175,FSA572 Work Package 3 NFCU Phase 2,SG8 6DP,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-27,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,OPERATIONS ASSURANCE ,SAS DANIELS LLP,1011707235,53354.15,LEGAL COSTS,SK3 8AD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,LGC LTD,1011707210,40000,FS101206-DEVELOPMENT OF QUALITY CONTROL MATERIALS FOR FOOD ALLERGEN ANALYSIS,TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011707215,39780.76,"Datacentre Discovery and Design  VMs, OMS & Storage (WP5)",EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700511,36262.5,Shellfish biotoxin monitoring 2018/19,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011707067,31655,Datacentre Discovery and Design,EC1A 4EN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,FERA SCIENCE LIMITED,1011707247,30051.92,National Reference Laboratory for Contaminants for core costs and ad hoc costs in : 2018 - 2019,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-06,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,PEOPLE & ORGANISATIONAL CHANGE,CSL - K P M G LLP,1011707080,28202,"Future, Engage, Deliver course",WD17 1DE,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,OPERATIONAL DELIVERY,ARCO UK LTD,1011707232,26507.33,Extension to contract,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NEXT GENERATION - HR,PEOPLE & ORGANISATIONAL CHANGE,CABINET OFFICE,2012700506,26252.01,CIVIL SERVICE HR EXPERT SERVICES 2018-19,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-05,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011707068,24611,IT Services,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-05,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011707068,24264,IT Services,NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-12,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,FINANCE,SHARED SERVICES CONNECTED LTD,1011707132,24178.93,SSCL Core Charge Management Services ,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-28,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - RECRUITMENT ADVERTISING,PEOPLE & ORGANISATIONAL CHANGE,CABINET OFFICE,2012700517,22314,Recruitment campaign,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-06,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROF SERV - PAYMENTS TO PAYROLL PROVIDER,FINANCE,MIDLAND SOFTWARE LTD,1011707085,21414,BACKDATED CHARGES AS AGREED,NG11 6LL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-06,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROF SERV - PAYMENTS TO PAYROLL PROVIDER,PEOPLE & ORGANISATIONAL CHANGE,MIDLAND SOFTWARE LTD,1011707085,21414,BACKDATED CHARGES AS AGREED,NG11 6LL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-20,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700511,21076,Shellfish classification,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-28,Exp - Purchase Of Goods/Services - Consultancy,NATIONAL FOOD CRIME UNIT - PHASE 2,PA CONSULTING SERVICES LTD,1011707241,13235,PROFESSIONAL FEES,SG8 6DP,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,9599,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,8405,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,8287,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,8287,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,5975,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,5975,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-18,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT SERVICE DELIVERY,EXPONENTIAL E LTD,1011707178,5704.8,CENTRALISED INTERNET,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,OPERATIONAL DELIVERY,ARCO UK LTD,1011707232,5301.51,FOR GOODS INVOICED,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-17,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NEXT GENERATION - HR,PEOPLE & ORGANISATIONAL CHANGE,CABINET OFFICE,2012700506,5250.4,CAB INCOME,SW1A 2AS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Organisational Development,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011707208,3475.5,TRAVEL EXPENSES UK wk 37,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-24,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operational Delivery,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011707208,3111.58,TRAVEL EXPENSES UK wk 37,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2018-09-17,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Organisational Development,CORPORATE TRAVEL MANAGEMENT NORTH LTD,1011707169,2478.55,TRAVEL EXPENSES -UK Wk 36,BD1 5HQ,ADMIN
