DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier ,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-18,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Estates,MINISTRY OF JUSTICE,2012700865,568419.4,SOP1-667738-900911-173858-MOTO RECHARGE CLIVE HOUSE,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"Sampling, Strategy & Laboratory Policy (SSLP)",HAMPSHIRE SCIENTIFIC SERVICE HAMPSHIRE COUNTY COUNCIL,1011713994,107455.7,Covid-19 surveillance sampling programme,SO23 8UB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-30,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011713992,83037.96,IT24 Var 2 - Azure CSP ? Consumption ,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analytics Unit,IPSOS MORI,1011713937,67874,FS302001 Food & You Wave 6 ,E1W 1YW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011713888,61314.5,Supply of Data Science Capability,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011713888,51152.5,Cognizant - Data Science Core Team - additional line (June),W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-15,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,EXPONENTIAL E LTD,1011713890,48861.09,Initial Transfer and rental of Redacted under s43 FOI PSTN Lines,E1 8EU,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-23,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analytics Unit,ASTON UNIVERSITY,1011713956,43670.17,"Food hypersensitivities: Capturing Quality of Life (QoL), BehaviouralMeasures and Willingness to Pay (WTP) in the UK",B4 7ET,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-02,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011713797,36185,IT24 Datacentre and Hosting,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT Service Delivery,COREAZURE LTD,1011713986,36185,IT24 Datacentre and Hosting,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-24,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,Estates,MINISTRY OF JUSTICE,2012700866,32988.64,SOP1-669348-900911-174097-ORANGE PODS CLIVE HOUSE,NP209BB,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-10,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,Food Incidents & Resilience - Prog,RAINMAKER SOLUTIONS LTD,1011713862,28275,FS910092 Incidents Beta Delivery,W1A 6US,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2020-09-10,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,Food Incidents & Resilience - Prog,RAINMAKER SOLUTIONS LTD,1011713862,28256.25,Incidents Beta Development (Phase 1),W1A 6US,PROGRAMME
